WORD,Connective Type
alternatively,Adversaryal Connectives
anyway,Adversaryal Connectives
but,Adversaryal Connectives
by contrast,Adversaryal Connectives
differs from,Adversaryal Connectives
elsewhere,Adversaryal Connectives
even so,Adversaryal Connectives
however,Adversaryal Connectives
in contrast,Adversaryal Connectives
in fact,Adversaryal Connectives
in other respects,Adversaryal Connectives
in spite of this,Adversaryal Connectives
in that respect,Adversaryal Connectives
instead,Adversaryal Connectives
on the contrary,Adversaryal Connectives
on the other hand,Adversaryal Connectives
rather,Adversaryal Connectives
whereas,Adversaryal Connectives
all the same,Causal Connectives
an effect of,Causal Connectives
an outcome of,Causal Connectives
an upshot of,Causal Connectives
as a consequence of,Causal Connectives
because,Causal Connectives
caused by,Causal Connectives
consequently,Causal Connectives
despite this,Causal Connectives
even though,Causal Connectives
hence,Causal Connectives
in that case,Causal Connectives
moreover,Causal Connectives
nevertheless,Causal Connectives
otherwise,Causal Connectives
so as,Causal Connectives
stemmed from,Causal Connectives
still,Causal Connectives
under the circumstances,Causal Connectives
yet,Causal Connectives
accordingly,Causal Connectives
as a result,Causal Connectives
as exemplified by,Causal Connectives
including,Causal Connectives
provided that,Causal Connectives
so,Causal Connectives
such as,Causal Connectives
therefore,Causal Connectives
these include,Causal Connectives
through,Causal Connectives
unless,Causal Connectives
without,Causal Connectives
besides,Explanatory Connectives
e.g.,Explanatory Connectives
for example,Explanatory Connectives
for instance,Explanatory Connectives
i.e.,Explanatory Connectives
in other words,Explanatory Connectives
in that,Explanatory Connectives
that is to say,Explanatory Connectives
first of all,Ordering Connectievs
firstly,Ordering Connectievs
for another,Ordering Connectievs
for one thing,Ordering Connectievs
in summation,Ordering Connectievs
in the first place,Ordering Connectievs
lastly,Ordering Connectievs
secondly,Ordering Connectievs
to begin with,Ordering Connectievs
to conclude,Ordering Connectievs
additionally,Supporting Connectives
also,Supporting Connectives
as well,Supporting Connectives
even,Supporting Connectives
furthermore,Supporting Connectives
in addition,Supporting Connectives
indeed,Supporting Connectives
let alone,Supporting Connectives
not only  ,Supporting Connectives
after a while,Temporal Connectives
afterwards,Temporal Connectives
at once,Temporal Connectives
at this moment,Temporal Connectives
at this point,Temporal Connectives
before that,Temporal Connectives
finally,Temporal Connectives
first,Temporal Connectives
here,Temporal Connectives
in the end,Temporal Connectives
later on,Temporal Connectives
meanwhile,Temporal Connectives
next,Temporal Connectives
next time,Temporal Connectives
now,Temporal Connectives
on another occasion,Temporal Connectives
previously,Temporal Connectives
second,Temporal Connectives
since,Temporal Connectives
soon,Temporal Connectives
straightaway,Temporal Connectives
then,Temporal Connectives
third,Temporal Connectives
until then,Temporal Connectives
when,Temporal Connectives
whenever,Temporal Connectives
while,Temporal Connectives
